name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,8178700,8421700,8636500,8815300,8986500,9199700,9425500,9640200,9842400,10056400,10275000,10508200,10700500,10906900,11121600,11340900,11599498,11799078,12008635,12263014,12507349,13067265,13303664,13504538,13722571,13892995,14033083,14192234,14359255,14515729,14695356,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25698093
Austria,6935100,6935451,6927772,6932483,6940209,6946885,6952359,6965860,6987358,7014331,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564984,7569794,7574586,7585317,7619566,7677850,7754891,7840709,7905632,7936118,7948278,7959016,7968041,7976789,7992323,8011566,8042293,8082121,8118245,8169441,8225278,8267948,8295189,8321541,8341483,8361069,8388534,8426311,8477230,8543932,8629519,8739806,8795073,8837707,8877637,8916845
Belgium,8639369,8678386,8730405,8777873,8819374,8868451,8923800,8989050,9052650,9103712,9153490,9183948,9220578,9289770,9378114,9463668,9527808,9580991,9618756,9646033,9655550,9673162,9711115,9741721,9772420,9800700,9818228,9830358,9839534,9848382,9859243,9858982,9856303,9855521,9855372,9858309,9861824,9870234,9901665,9937697,9967378,10004486,10045165,10084479,10115601,10136814,10156641,10181246,10203012,10226419,10251247,10286571,10332783,10376130,10421133,10478617,10547956,10625701,10709976,10796498,10895589,10993616,11067748,11125033,11179778,11238474,11295003,11349081,11403740,11462023,11506938
Canada,14018606,14318204,14776291,15169815,15620550,16040090,16431419,16970940,17450075,17861347,18256447,18634666,18989309,19347231,19719595,20084314,20420867,20795138,21129417,21439830,21746497,21962032,22218463,22491777,22807969,23143275,23449808,23725843,23963203,24201544,24515667,24819915,25116942,25366451,25607053,25842116,26100278,26446601,26791747,27276781,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545295,37065178,37593384,38005238
Chile,6081931,6218333,6354736,6491137,6627540,6763940,6939809,7115675,7291542,7467409,7643277,7843945,8044614,8245284,8445953,8646622,8831223,9015825,9200427,9385028,9569631,9738347,9907065,10075782,10244501,10413219,10565409,10717600,10869791,11021982,11174173,11359773,11545372,11730972,11916572,12102174,12317494,12532815,12748135,12963457,13178782,13422010,13737062,13956766,14171821,14381249,14584947,14782706,14974898,15162353,15343326,15520049,15691701,15856977,16022133,16183489,16347890,16517933,16697754,16881078,17063927,17254159,17443491,17611902,17787617,17971423,18167147,18419192,18751405,19107216,19458310
Colombia,11981576,12295965,12633899,12993849,13374543,13774999,14194561,14632794,15089522,15564624,16057714,16567817,17092919,17629978,18175187,18725242,19279734,19837508,20393704,20942453,21480064,22003983,22516429,23024512,23538390,24065502,24608102,25164544,25733669,26312996,26900508,27496608,28101824,28714183,29331230,30802221,31439997,32096973,32767110,33446912,34130022,34830570,35520940,36207108,36853905,37472184,38068050,38635691,39184456,39730798,40295563,40813541,41328824,41848959,42368489,42888592,43405956,43926929,44451147,44978832,45509584,46044601,46581823,47121089,47661787,48203405,48747708,49291609,49834240,50374478,50911747
Costa Rica,868934,897630,929173,962485,997535,1035424,1075192,1117281,1159770,1204553,1251508,1301084,1352695,1403804,1455625,1507565,1559922,1612363,1664202,1715441,1763665,1812029,1860528,1909614,1959976,2009819,2063320,2117790,2177452,2239890,2304094,2370060,2437231,2505453,2573769,2646142,2726063,2804079,2878888,2955335,3029336,3101536,3170537,3239868,3334223,3428278,3520866,3611224,3699939,3786841,3872349,3953393,4022431,4086405,4151823,4215248,4278656,4340390,4404090,4469337,4533894,4592149,4652458.931,4713168.141,4773129.934,4832233.813,4890379.452,4947489.593,5003401.958,5058007.147,5111238.216
Czech Republic,8925122,9023170,9125183,9220908,9290617,9365969,9442040,9513758,9574650,9618554,9659818,9588016,9621808,9668741,9730019,9785102,9826188,9854241,9877632,9896695,9805157,9830602,9868379,9919519,9994761,10062366,10128220,10189312,10245686,10296489,10326792,10303208,10314321,10322823,10330481,10336742,10340737,10348834,10356359,10362257,10362740,10308682,10317807,10330607,10336162,10330759,10315353,10303642,10294943,10282784,10272503,10224192,10200774,10201651,10206923,10234092,10266646,10322689,10429692,10491492,10517247,10496672,10509286,10510719,10524783,10542942,10565284,10589526,10626430,10669324,10700155
Denmark,4268468,4300376,4332355,4369279,4406576,4439006,4466527,4489871,4516287,4548660,4579603,4611690,4647733,4684481,4722074,4759011,4797381,4835358,4864879,4891860,4928748,4963126,4991596,5021862,5045298,5059862,5072597,5088420,5104248,5116802,5123027,5121572,5117810,5114297,5111619,5113691,5120534,5127024,5129517,5132594,5140939,5154298,5171370,5189377,5204994,5227861,5261503,5284220,5301304,5319111,5337344,5355082,5374255,5387174,5401177,5415978,5434567,5457415,5489022,5519441,5543819,5566856,5587085,5608784,5639719,5678348,5724456,5760694,5789957,5814461,5825337
Estonia,1100997,1113238,1125237,1136906,1148213,1159233,1170091,1181017,1192257,1204106,1216820,1230504,1245083,1260215,1275440,1290406,1304984,1319249,1333174,1346820,1360076,1376955,1392518,1405951,1418169,1429352,1439576,1450211,1460188,1468333,1477219,1487666,1498414,1508745,1518617,1528781,1540190,1552221,1561900,1568131,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1375654,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1314608,1315790,1317384,1321977,1326855,1329479
Finland,4008902,4047264,4090476,4139418,4186901,4234881,4281703,4324012,4359753,4394680,4429633,4461007,4491442,4523307,4548545,4563732,4580868,4605743,4626471,4623785,4606304,4612124,4639656,4666079,4690575,4711440,4725665,4738900,4752527,4764691,4779537,4799962,4826931,4855786,4881806,4902202,4918150,4932123,4946487,4964370,4986433,5013737,5041990,5066452,5088324,5107787,5124573,5139839,5153499,5165470,5176203,5188005,5200598,5213010,5228173,5246100,5266266,5288719,5313398,5338867,5363341,5388272,5413967,5438975,5461507,5479528,5495297,5508209,5515525,5521605,5529545
France,41828708,42155531,42459667,42751748,43056508,43427667,43843074,44310865,44788852,45239730,45684228,46162831,46997707,47816220,48310410,48757799,49163665,49548302,49915403,50317983,50772222,51251098,51700913,52118300,52460358,52699171,52908675,53145280,53376322,53606226,53880012,54181806,54492495,54772418,55026074,55284271,55546504,55823956,56117974,56423411,56708826,58425681,58711615,58961049,59175335,59383991,59589289,59795263,60011008,60315406,60724780,61163237,61604550,62037544,62490800,62958328,63393406,63781275,64133174,64458715,64773169,65087317,65402998,65735961,66276671,66512558,66688563,66883314,67068133,67215667,67347238
Germany,69966252,69565603,69974838,70365355,70755387,71147383,71146613,71209164,71752946,72286928,72814897,73377631,74025787,74714356,75318338,75963697,76600311,76951342,77294310,77909681,78169285,78312838,78688450,78936672,78967429,78673555,78336948,78159813,78091821,78126353,78288576,78407904,78333354,78128284,77858682,77684878,77720438,77839920,78144617,78751284,79433034,80013901,80624601,81156368,81438346,81678046,81914834,82034775,82047197,82100243,82211501,82349926,82488493,82534175,82516268,82469421,82376447,82266373,82110097,81902308,81776936,80274981,80425826,80645605,80982495,81686608,82348669,82657000,82905788,83092958,83160874
Greece,7554102,7632801,7743746,7836110,7893412,7965538,8031013,8096218,8173129,8258162,8327405,8398050,8448233,8479625,8510429,8550333,8613651,8716441,8740765,8772764,8792806,8831036,8888628,8929086,8962023,9046542,9167190,9308479,9429959,9548258,9642505,9729350,9789513,9846627,9895801,9934294,9967264,10000644,10037037,10089550,10196801,10319928,10399058,10460409,10512924,10562160,10608801,10661264,10720507,10761698,10805806,10862129,10902022,10928072,10955142,10987316,11020366,11048466,11077839,11107017,11121344,11104900,11045010,10965209,10892415,10820883,10775966,10754679,10732877,10721584,10707972
Hungary,9337770,9422958,9504043,9595144,9705833,9824908,9855888,9839364,9881594,9937033,9983514,10027958,10060823,10087948,10119834,10147932,10178653,10216607,10255807,10298722,10337912,10367535,10398491,10432053,10478720,10540523,10598674,10648028,10684829,10704148,10711126,10711853,10705537,10689467,10668092,10648715,10630565,10612743,10596489,10481717,10373987,10373398,10369339,10357518,10343359,10328967,10311235,10290475,10266571,10237527,10210965,10187578,10158610,10129554,10107140,10087064,10071374,10055778,10038186,10022647,10000020,9958824,9920364,9893083,9866466,9843025,9814026,9787969,9775566,9771142,9750153
Iceland,142660,145417,147762,150746,154272,157759,161097,164766,168490,172013,175573,179028,182376,185648,188983,192285,195568,198757,201487,203370,204438,206099,209137,212316,215206,217974,220151,221801,223537,225734,228133,230757,233855,236976,239506,241409,243187,245864,249734,252851,254820,257795,261053,263730,266021,267467,268918,271130,274049,277384,281200,284970,287516,289522,292077,296734,303784,311567,317404,318501,318044,319011,320723,323763,327379,330818,335435,343399,352722,360558,366462
Ireland,2969000,2960600,2952900,2949000,2941200,2920900,2898500,2885300,2852700,2845600,2832100,2818300,2830100,2850000,2863800,2875800,2884000,2899700,2912200,2925200,2949900,2978200,3024400,3073000,3123900,3177200,3227800,3271900,3314000,3368200,3401000,3443400,3480000,3504000,3529000,3540000,3540600,3546500,3530700,3509500,3505800,3525700,3554500,3574100,3585900,3601300,3626087,3664313,3703082,3741647,3789536,3847198,3917203,3979853,4045188,4133839,4232929,4375842,4485070,4533395,4554763,4574888,4593697,4614669,4645440,4687787,4739597,4792490,4857015,4921496,4977443
Israel,1103000,1324000,1429800,1467700,1500600,1555300,1626300,1721200,1782700,1836200,2150400,2234200,2331800,2430100,2525600,2598400,2657400,2708000,2806700,2879100,2958200,3045600,3225000,3277900,3377200,3455300,3533100,3613000,3692600,3786400,3877700,3949800,4020700,4106100,4159100,4233000,4298800,4368900,4441700,4518200,4660200,4949100,5123500,5261400,5399300,5544900,5685100,5828900,5970700,6125300,6289200,6439000,6570000,6689700,6809000,6930128,7053707,7180114.5,7308795,7485565,7623561,7765832,7910525,8059456,8215668,8380149,8546009,8713268,8882764,9054000,9215100
Italy,47104001,47407195,47665530,47957348,48299578,48632556,48921093,49183204,49476429,49832779,50199634,50536309,50879432,51251937,51675294,52112336,52518925,52900443,53235691,53537796,53821798,54073525,54381345,54751405,55110870,55440999,55718266,55955407,56155142,56317750,56433876,56501674,56543539,56564076,56576719,56593070,56596157,56601936,56629290,56671778,56719239,56758522,56797078,56831823,56843400,56844301,56860279,56890371,56906744,56916316,56942108,56976976,57089823,57399187,57828178,58166684,58399863,58756247,59211183,59555456,59819402,60026844,60191243,60311616,60320708,60229599,60115220,60002254,59877216,59729077,59449527
Japan,84109139,85475000,86765900,87955300,89026700,90076594,90992000,91763000,92621000,93514000,94301623,95181000,96087000,97075000,98110000,99209137,99978000,101145000,102287000,103491000,104665171,106100000,107595000,109104000,110573000,111939643,113094000,114165000,115190000,116155000,117060396,117902000,118728000,119536000,120305000,121048923,121660000,122239000,122745000,123205000,123611167,124101000,124567000,124938000,125265000,125570246,125864000,126166000,126486000,126686000,126925843,127291000,127435000,127619000,127687000,127767994,127900515,128032743,128083960,128031514,128057352,127834233,127592657,127413888,127237150,127094745,126932772,126706210,126443180,126166948,125708000
Korea,19211387,19452640,19817775,20293200,20864104,21514564,22227339,22984010,23765501,24552846,25012374,25765673,26513030,27261747,27984155,28704674,29435571,30130983,30838302,31544266,32240827,32882704,33505406,34103149,34692266,35280725,35848523,36411795,36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51606633,51709098,51780579
Latvia,1926568,1933995,1945956,1961660,1980396,2001570,2024678,2049314,2075182,2102010,2129584,2157660,2185873,2213805,2240947,2266938,2291471,2314506,2336318,2357389,2359164,2376389,2395674,2415819,2437186,2456130,2470989,2485073,2497921,2505953,2511701,2519421,2531080,2546011,2562047,2578873,2599892,2626583,2653434,2666955,2663146,2650581,2614338,2563289,2520742,2485054,2457226,2432851,2410027,2390477,2367549,2337172,2310176,2287955,2263123,2238799,2218351,2200325,2177324,2141668,2097553,2059710,2034324,2012647,1993785,1977523,1959535,1942247,1927170,1913826,1900448
Lithuania,2567407,2569617,2578051,2591374,2608525,2628752,2651634,2677006,2704988,2735866,2769879,2806924,2846393,2887072,2927385,2966165,3002792,3037458,3070698,3103509,3139689,3179041,3213622,3244438,3273894,3301652,3328664,3355036,3379514,3397842,3413202,3432947,3457179,3485192,3514205,3544543,3578914,3616367,3655049,3684255,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524237,3499534,3470817,3443066,3415209,3377073,3322525,3269903,3231297,3198234,3162911,3097292,3028119,2987773,2957689,2932366,2904908,2868234,2828398,2801541,2794135,2794890
Luxembourg,296005,297593,299500,301507,303449,305262,306938,308562,310258,312219,314585,317438,320699,324129,327360,330160,332423,334234,335829,337568,339174,342415,346600,350450,355049,358951,360728,361356,362010,362856,364152,365219,365525,365621,365997,366707,368354,370751,373450,377095,381857,386999,392171,397481,402921,408625,414228,419440,424699,430475,436303,441522,446166,451626,458098,465152,472641,479992,488647,497783,506953,518351,530952,543358,556322,569605,583459,596337,607950,620003,630413
Mexico,27026573,27780135,28578641,29418995,30311877,31272636,32281478,33337148,34439604,35591229,36786543,38025871,39306372,40619346,41970377,43359231,44779078,46234469,47720198,49236362,50778729,52354238,53973953,55619995,57293865,58993234,60702805,62414539,64131336,65849531,67561216,69267849,70973052,72671675,74359027,76030535,77689757,79339498,80970606,82579032,84169571,85748742,87312337,88850856,90362709,91843905,93294783,94720541,96116960,97482584,98785275,100105299,101493987,102890474,104272444,105669369,107155391,108744845,110405454,112095388,113748671,115367452,116935670,118453929,119936411,121347800,122715165,124041731,125327797,126577691,127792286
Netherlands,10113528,10264309,10381980,10493184,10615385,10750840,10889358,11026384,11186878,11347635,11486630,11638709,11805690,11965967,12127116,12294732,12456254,12598202,12729717,12877984,13038523,13194497,13328595,13439325,13545054,13666329,13774037,13856188,13941702,14038270,14149799,14247217,14312689,14367066,14424211,14491629,14572280,14665037,14760092,14848906,14951510,15069799,15184163,15290368,15382834,15459004,15530500,15610650,15707205,15812085,15925505,16046182,16148921,16225303,16281777,16319871,16346096,16381696,16445590,16530387,16615390,16693074,16754963,16804430,16865008,16939925,17030314,17131295,17231622,17344876,17441500
